voting_percentage	true_label	vote_label	correct_vote
0.3404255319148936	1	2	False
0.5111111111111111	1	1	True
0.5142857142857142	1	1	True
0.2871287128712871	1	2	False
0.4673913043478261	1	1	True
0.5764705882352941	1	1	True
0.31746031746031744	1	0	False
0.8253968253968254	0	0	True
0.5132743362831859	0	0	True
0.37681159420289856	0	1	False
0.45263157894736844	0	0	True
0.5730337078651685	0	0	True
0.2413793103448276	0	1	False
0.32142857142857145	2	1	False
0.3416666666666667	2	1	False
0.1987179487179487	2	1	False
0.01744186046511628	2	0	False
0.49572649572649574	2	2	True
