#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10573355, 0.11152832, 0.94871795, 0.46153846, 0.62500000, 0.20000000, 0.95238095, 0.94444444
1, 0.04233317, 0.03142672, 0.97435897, 0.46153846, 0.62500000, 0.20000000, 0.95238095, 1.00000000
2, 0.02772456, 0.02600083, 0.92307692, 0.53846154, 0.75000000, 0.20000000, 0.95238095, 0.88888889
3, 0.02246248, 0.02133512, 0.89743590, 0.53846154, 0.75000000, 0.20000000, 0.95238095, 0.83333333
4, 0.02020012, 0.03003082, 0.92307692, 0.53846154, 0.75000000, 0.20000000, 0.95238095, 0.88888889
5, 0.02121747, 0.01949191, 0.89743590, 0.53846154, 0.75000000, 0.20000000, 0.95238095, 0.83333333
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10529006, 0.11041681, 0.92307692, 0.84615385, 1.00000000, 0.66666667, 0.90909091, 0.94117647
1, 0.04140483, 0.02906371, 0.94871795, 0.84615385, 1.00000000, 0.66666667, 0.95454545, 0.94117647
2, 0.02474071, 0.02473211, 0.94871795, 0.76923077, 0.85714286, 0.66666667, 0.95454545, 0.94117647
3, 0.02114158, 0.02537861, 0.92307692, 0.84615385, 1.00000000, 0.66666667, 0.90909091, 0.94117647
4, 0.02006788, 0.02287544, 0.92307692, 0.76923077, 0.85714286, 0.66666667, 0.90909091, 0.94117647
5, 0.01911167, 0.02257517, 0.92307692, 0.84615385, 1.00000000, 0.66666667, 0.90909091, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.11055627, 0.09689049, 0.94871795, 0.69230769, 0.85714286, 0.50000000, 0.90909091, 1.00000000
1, 0.04264973, 0.03184753, 0.94871795, 0.61538462, 0.71428571, 0.50000000, 0.90909091, 1.00000000
2, 0.02450530, 0.01936903, 0.94871795, 0.61538462, 0.71428571, 0.50000000, 0.90909091, 1.00000000
3, 0.02068989, 0.02017435, 0.89743590, 0.61538462, 0.71428571, 0.50000000, 0.86363636, 0.94117647
4, 0.01860512, 0.02258295, 0.89743590, 0.53846154, 0.57142857, 0.50000000, 0.86363636, 0.94117647
5, 0.01928258, 0.02148179, 0.89743590, 0.46153846, 0.42857143, 0.50000000, 0.86363636, 0.94117647
#, train_loss, test_loss, train_acc_all, test_acc_all, test_acc_C, test_acc_F, train_acc_C, train_acc_F
0, 0.10612665, 0.10532401, 0.94871795, 0.53846154, 0.71428571, 0.33333333, 0.95454545, 0.94117647
1, 0.03907891, 0.03833149, 0.94871795, 0.69230769, 0.71428571, 0.66666667, 0.95454545, 0.94117647
2, 0.02005672, 0.02738757, 0.94871795, 0.76923077, 0.71428571, 0.83333333, 0.95454545, 0.94117647
3, 0.01633101, 0.02765426, 0.97435897, 0.76923077, 0.71428571, 0.83333333, 1.00000000, 0.94117647
4, 0.02152252, 0.03206699, 0.92307692, 0.61538462, 0.71428571, 0.50000000, 0.95454545, 0.88235294
5, 0.01732354, 0.02980670, 0.92307692, 0.61538462, 0.71428571, 0.50000000, 0.95454545, 0.88235294
