#, train_loss, test_loss, test_acc_all, test_acc_C, test_acc_A, test_acc_F
1, 0.06051842, 0.03838644, 0.44324667, 0.64426126, 0.39441978, 0.29105897
2, 0.02766884, 0.03428081, 0.44282393, 0.64172479, 0.39568802, 0.29105897
3, 0.02335795, 0.03152978, 0.44049884, 0.64362714, 0.38237159, 0.29549778
4, 0.02209193, 0.03077879, 0.43711689, 0.63284718, 0.38110336, 0.29740013
5, 0.01857993, 0.02949799, 0.43627140, 0.64426126, 0.37666455, 0.28788840
6, 0.01644870, 0.02495276, 0.43119848, 0.63728599, 0.37793278, 0.27837666
7, 0.01497590, 0.02302040, 0.43627140, 0.63094483, 0.38871275, 0.28915663
8, 0.01327114, 0.02382989, 0.43225534, 0.63284718, 0.38681040, 0.27710843
9, 0.01265861, 0.02073063, 0.43225534, 0.62777425, 0.38934686, 0.27964490
10, 0.01222017, 0.02080765, 0.43500317, 0.63601776, 0.39822448, 0.27076728
11, 0.01139966, 0.01925613, 0.42887339, 0.62714014, 0.38807863, 0.27140140
12, 0.01150609, 0.01821237, 0.42845064, 0.62523779, 0.38617628, 0.27393786
13, 0.01112723, 0.02010636, 0.43310082, 0.62333545, 0.39568802, 0.28027901
14, 0.01065040, 0.01925339, 0.43458043, 0.62777425, 0.39632213, 0.27964490
