accuracy	true_label	vote_label	correct_vote
0.4032258064516129	1	2	False
0.5849056603773585	1	1	True
0.48936170212765956	1	1	True
0.3488372093023256	1	2	False
0.625	1	1	True
0.6666666666666666	1	1	True
0.2	1	0	False
0.9508196721311475	0	0	True
0.6	0	0	True
0.5483870967741935	0	0	True
0.4782608695652174	0	0	True
0.4473684210526316	0	0	True
0.4307692307692308	0	0	True
0.36363636363636365	2	1	False
0.27586206896551724	2	1	False
0.18421052631578946	2	0	False
0.0	2	0	False
0.5263157894736842	2	2	True
