accuracy	true_label	vote_label	correct_vote
0.427536231884058	1	1	True
0.48936170212765956	1	1	True
0.5625	1	1	True
0.3229166666666667	1	2	False
0.45454545454545453	1	2	False
0.5411764705882353	1	1	True
0.37681159420289856	1	0	False
0.8175182481751825	0	0	True
0.6470588235294118	0	0	True
0.47619047619047616	0	0	True
0.5217391304347826	0	0	True
0.47058823529411764	0	0	True
0.4491525423728814	0	0	True
0.33035714285714285	2	1	False
0.35	2	1	False
0.1794871794871795	2	1	False
0.005813953488372093	2	0	False
0.452991452991453	2	2	True
